,Age,Avg Monthly GB Download,Avg Monthly Long Distance Charges,Churn Category,Churn Reason,Churn Score,City,CLTV,Contract,Country,Customer ID,Customer Status,Dependents,Device Protection Plan,Gender,Internet Service,Internet Type,Lat Long,Latitude,Longitude,Married,Monthly Charge,Multiple Lines,Number of Dependents,Number of Referrals,Offer,Online Backup,Online Security,Paperless Billing,Partner,Payment Method,Phone Service,Population,Premium Tech Support,Quarter,Referred a Friend,Satisfaction Score,Senior Citizen,State,Streaming Movies,Streaming Music,Streaming TV,Tenure in Months,Total Charges,Total Extra Data Charges,Total Long Distance Charges,Total Refunds,Total Revenue,Under 30,Unlimited Data,Zip Code,Churn
0,72,4,19.44,,Not Provided,51,San Mateo,4849,Two Year,United States,4526-ZJJTM,Stayed,0,1,Female,1,Fiber Optic,"37.538309, -122.305109",37.538309,-122.305109,1,88.4,0,0,1,No Offer,1,0,0,1,Bank Withdrawal,1,37926,0,Q3,1,3,1,California,1,1,0,25,2191.15,0,486.0,0.0,2677.15,0,1,94403,0
1,27,59,45.62,,Not Provided,27,Sutter Creek,3715,Month-to-Month,United States,5302-BDJNT,Stayed,0,1,Male,1,Fiber Optic,"38.432145, -120.77069",38.432145,-120.77069,0,95.5,1,0,0,No Offer,0,0,0,0,Bank Withdrawal,1,4610,1,Q3,0,3,0,California,0,0,1,35,3418.2,0,1596.7,0.0,5014.9,1,1,95685,0
2,59,0,16.07,,Not Provided,59,Santa Cruz,5092,Month-to-Month,United States,5468-BPMMO,Stayed,0,0,Male,0,Unknown,"37.007882, -122.065975",37.007882,-122.065975,1,19.6,0,0,3,No Offer,0,0,0,1,Bank Withdrawal,1,4563,0,Q3,1,5,0,California,0,0,0,46,851.2,0,739.22,0.0,1590.42,0,0,95064,0
3,25,27,0.0,,Not Provided,49,Brea,2068,One Year,United States,2212-LYASK,Stayed,0,1,Male,1,DSL,"33.924143, -117.79387",33.924143,-117.79387,1,45.85,0,0,3,No Offer,1,0,1,1,Credit Card,0,1408,0,Q3,1,4,0,California,1,1,0,27,1246.4,30,0.0,0.0,1276.4,1,0,92823,0
4,31,21,17.22,Dissatisfaction,Network reliability,88,San Jose,4026,One Year,United States,0378-XSZPU,Churned,0,1,Male,1,Cable,"37.311088, -121.961786",37.311088,-121.961786,1,60.3,0,0,1,Offer B,1,1,0,1,Credit Card,1,29914,0,Q3,1,2,0,California,0,0,0,58,3563.8,0,998.76,0.0,4562.56,0,1,95117,1
5,32,30,11.94,Competitor,Competitor had better devices,81,Stockton,5351,Month-to-Month,United States,6023-YEBUP,Churned,0,1,Male,1,Cable,"38.033219, -121.297433",38.033219,-121.297433,0,100.95,1,0,0,Offer E,0,0,1,0,Bank Withdrawal,1,40611,0,Q3,0,1,0,California,1,1,1,3,329.95,10,35.82,0.0,375.77,0,0,95210,1
6,36,8,10.23,,Not Provided,77,San Quentin,5436,Month-to-Month,United States,7030-NJVDP,Stayed,0,0,Male,1,Fiber Optic,"37.942551, -122.491642",37.942551,-122.491642,1,89.25,0,0,2,No Offer,0,1,1,1,Bank Withdrawal,1,6448,1,Q3,1,3,0,California,1,1,0,24,2210.2,0,245.52,0.0,2455.72,0,1,94964,0
7,48,16,8.98,Price,Price too high,79,Mountain View,5413,Month-to-Month,United States,7549-MYGPK,Churned,0,1,Female,1,Fiber Optic,"37.380662, -122.086022",37.380662,-122.086022,1,100.55,1,0,3,Offer B,1,1,1,1,Bank Withdrawal,1,32143,0,Q3,1,2,0,California,0,0,1,63,6215.35,0,565.74,0.0,6781.09,0,0,94040,1
8,72,14,44.81,,Not Provided,75,Somis,5388,Two Year,United States,2469-DTSGX,Stayed,0,1,Female,1,Fiber Optic,"34.297628, -119.014627",34.297628,-119.014627,0,111.65,1,0,0,Offer A,1,0,0,0,Bank Withdrawal,1,2966,1,Q3,0,5,1,California,1,0,1,72,7943.45,0,3226.32,0.0,11169.77,0,1,93066,0
9,54,12,14.88,,Not Provided,78,San Diego,3172,Month-to-Month,United States,3090-LETTY,Joined,1,0,Male,1,DSL,"32.957195, -117.202542",32.957195,-117.202542,0,60.95,1,2,0,No Offer,1,1,0,0,Bank Withdrawal,1,28201,0,Q3,0,4,0,California,0,0,0,2,134.6,0,29.76,0.0,164.36,0,1,92130,0
